Document Name,Current Status,Due Date,Executor,Category
Travel Books - Paris Edition - Collector's Item - Product Label - French,On AI translation,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Marketing Brochure - French,On linguist verification,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - User Guide - French,On translation,"Sun, 19 Nov 2023 11:30","j.martin","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Product Label - German,On AI translation,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Marketing Brochure - German,On linguist verification,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - User Guide - German,On validation,"Sun, 19 Nov 2023 13:30","a.durand","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Product Label - Spanish,On AI translation,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Marketing Brochure - Spanish,On linguist verification,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - User Guide - Spanish,On validation,"Sun, 19 Nov 2023 15:30","t.alexandre","PRODUCT DESCRIPTION"
Travel Books - Paris Edition - Collector's Item - Product Label - Italian,On AI translation,"as soon as possible","mot tech","PRODUCT DESCRIPTION"
